artwork_id,title,artist,address,city,state,zip_code,latitude,longitude,materials,workType,themes,yearCreated,placement,collection
5c26581f-b116-485f-9c02-42412b223210,Ripple (Rimpeling),Tejo Remy,3402 South Glebe Road,Arlington,Virginia,22202,38.843784,-77.056786,"powder coating, steel (alloy)",installations (visual works),,2015,public spaces,Arlington County
43a67898-0524-4c5c-b79e-f8105911408b,Watermarks,D.I.R.T. Studio,S Eads Street & S Glebe Road,Four Mile Run,Virginia,22202,38.84293549351563,-77.05479555993891,"plastic (organic material), thermoplastic coating","floors (surface elements), murals (any medium)",,2017,walkways,Arlington County
c5b83bfb-9bbd-4cdd-a753-64237268aee6,Rising Star,Joseph O'Connell (Creative Machines),1351 N Rolfe St,Arlington,Virginia,22209,38.88954993668577,-77.07936545993749,"stainless steel, LEDs","sculpture (visual work), outdoor sculpture",,2019,,Arlington County
44efdf11-aab0-4c18-8f12-031fc3c37299,Choreography of Wills,Zachary Oxman,944 N. Fairfax St,Alexandria,Virginia,22314,38.814003325344544,-77.04028557906832,"bronze (metal), stainless steel",outdoor sculpture,,2021,sidewalks,City of Alexandria
f74d04bf-75e6-4db6-ac83-e06c13307c14,Fifi,Lincoln Schatz,1400 South Joyce Street,Arlington,Virginia,22202,38.86158254,-77.06390419,"Plexiglas (TM), stainless steel",sculpture (visual work),,1998,housing complexes,Arlington County
e44f70a3-369b-4586-a817-e87b8b68a3b2,Good Morning Star Shine,Patrick Kirwin,Venue Condominium at Mount Vernon Trail,Alexandria,Virginia,22314,38.813750332711514,-77.03955651862736,,mural paintings (visual works),,2023,housing complexes,City of Alexandria
266a1032-28bc-41bf-a2ba-9b90e32ceb16,Muse Sculptures,Jeff Chyatte,1201 N Royal St,Alexandria,Virginia,22314,38.8172501779163,-77.0404816825283,,outdoor sculpture,,2022,housing complexes,City of Alexandria
5c0055de-44b1-4130-be4e-1969a945295a,Old Town North Artist-Designed Stormwater Covers,Matt Long,Old Town North (N. Fairfax),Alexandria,Virginia,22314,38.816969383140254,-77.03985792146025,cast iron,manhole covers,,2023,,City of Alexandria
0cff8ec3-c342-4ae6-8edb-223b16a6ff41,Promenade Classique,Anne Poirier,44 Canal Center Plaza & Waterfront,Alexandria,Virginia,22314,38.814466,-77.03859,"bronze (metal), copper (metal), marble (rock), iron (metal), concrete, brick, coal, granite (rock)","installations (visual works), fountain (water feature)",,1986,plazas,City of Alexandria
d6589deb-b74c-4f7a-9241-7d7b52016771,A Subtle Trip,Rob Ley,Potomac Yard,Alexandria,Virginia,22305,38.83270265287215,-77.04745073834471,"aluminum (metal), paint","installations (visual works), architecture (object genre)",,2023,public transit (infrastructure),Washington Metropolitan Area Transit Authority
091edaa3-6dc2-49f0-95f6-eef914cac090,Helix,John Dreyfuss,1800 Wilson Boulevard,Arlington,Virginia,22201,38.89365434,-77.07884444,bronze (metal),sculpture (visual work),,2006,housing complexes,Arlington County
12b1674f-e337-4b0a-b2d4-e64b8c9fbce0,Fragments of Sky,Larry Kirkland,3400 S Clark St,Crystal City,Virginia,22202,38.84441161448012,-77.05225500226847,granite (rock),"sculpture (visual work), outdoor sculpture",,2020,"plazas, housing complexes",Arlington County
71978b44-480a-48e1-9e48-df0bbfb52bbd,Wonder Wander,Larry Kirkland,3600 S. Glebe Road.,Arlington,Virginia,22202,38.8431576,-77.05148811,"granite (rock), water","sculpture (visual work), fountain (water feature), outdoor sculpture, benches (furniture)",,2010,parks (recreation areas),Arlington County
aebafb1d-837a-472a-bd17-3e9d9eb0f17f,Connections,Barbara Bernstein,3627 S Glebe Road,Crystal City,Virginia,22202,38.843037829605606,-77.05139800226851,"ink, vinyl","murals (any medium), windows",,2016,bus shelters,Arlington County
94358458-c62f-4ce5-913b-4e7788368da4,Aya,Foon Sham,1601 Wilson Boulevard,Arlington,Virginia,22209,38.893859,-77.077246,wood (plant material),sculpture (visual work),,2007,atriums (interior spaces),Arlington County
1f02384d-eaa0-464d-ac55-d8ba0258880d,Radiolaria,Wendy M. Ross,1601 Wilson Boulevard,Arlington,Virginia,22209,38.894833,-77.077615,stainless steel,sculpture (visual work),,2007,housing complexes,Arlington County
4bba6b95-d7bb-4453-aeac-188e46bc6fe3,Untitled (Bennett Park Apartments),Kendall Buster,1601 Wilson Boulevard,Arlington,Virginia,22209,38.8943934,-77.0772529,"cloth, powder coating, steel (alloy)",sculpture (visual work),,2007,housing complexes,Arlington County
c9c5fda5-2ac2-4512-a37a-cebe92c09f70,Fire Lines,David Hess,1535 Wilson Blvd,Arlington,Virginia,22209,38.8948135758955,-77.07586500226701,"stainless steel, LEDs","sculpture (visual work), outdoor sculpture",,2021,fire stations,Arlington County
c78d1304-dbb6-4a0e-acb7-706de8bc7e2c,Potomac Garden,Kokoro Carvers,2777 Crystal Drive,Arlington,Virginia,22202,38.84840221,-77.05120684,granite (rock),sculpture (visual work),,2006,plazas,Arlington County
edf335ff-3702-420f-bff2-a3776ef166e9,Anna and David,Miriam Schapiro,1525 Wilson Boulevard,Arlington,Virginia,22201,38.89491319,-77.07518005,"aluminum (metal), paint, stainless steel",sculpture (visual work),,1987,commercial buildings,Arlington County
b41187a5-7bbe-4437-91b9-dbc39011123d,Cupid's Garden,Chris Gardner,1711 N. Oak Street,Arlington,Virginia,22209,38.89461,-77.0738,stainless steel,sculpture (visual work),,1994,intersections,Arlington County
fe782b18-5bb2-4a3a-8e7f-594cececa0d7,Continuum,David Chung,1800 North Oak Street,1800 North Oak Street,Virginia,22209,38.8962431,-77.07456312,"composite material, tile, ceramic (material)","mosaics (visual works), murals (any medium)",,2003,housing complexes,Arlington County
cfd80189-a7dd-4d6c-9570-c50d3a386805,Reposto,David Chung,1800 North Oak Street,Arlington,Virginia,22209,38.896026,-77.07437,"porcelain, tile, concrete, steel (alloy)","sculpture (visual work), mosaics (visual works), acrylic paintings",,2003,housing complexes,Arlington County
4cb624de-6bb9-451f-b70a-2f2479a42786,"The Family: David, Haggit, and Adoniyya",Boaz Vaadia,1300 17th Street,Arlington,Virginia,22209,38.893755,-77.072568,stone (rock),sculpture (visual work),,1992,walkways,Arlington County
e9ce87d8-9ac2-486d-999c-b7baf144556d,Dark Star Park,Nancy Holt,1655 Fort Myer Drive,Arlington,Virginia,22209,38.89352933,-77.07145857,"concrete, earth, wood (plant material), stone (rock), water, plant material","sculpture (visual work), environmental art, outdoor sculpture",,1984,parks (grounds),Arlington County
4c8107b4-efb2-4c97-9166-7991413eadef,Rosslyn,David Chung,1801-1803 N. Fort Meyer Drive,Arlington,Virginia,22209,38.8951506,-77.07208517,"paint, mineral",mural paintings (visual works),,2000,subway stations,Arlington County
250a7b6d-e540-4ecf-870a-68bc1a7053db,Quill,Christian Moeller,1812 N. Moore Street,Arlington,Virginia,22209,38.896332,-77.071503,aluminum (metal),installations (visual works),,2014,utilities buildings,Arlington County
937625d6-689c-47a0-b49a-736e64898d98,Luminous Bodies,Cliff Garten,N Lynn St & Lee Highway,Rosslyn,Virginia,22209,38.89659607588361,-77.07084340226696,"stainless steel, LEDs","sculpture (visual work), outdoor sculpture",,2020,"bridges (built works), intersections",Arlington County
d2baeec9-718a-4336-921a-9521988a6f54,Gravity and Grace,Cliff Garten,1800 N Lynn St,Rosslyn,Virginia,22209,38.89692547206101,-77.07086185993725,"LEDs, lighting device components","light art, installations (visual works)",,2018,public spaces,Arlington County
1496fcfa-a8a6-4780-b233-ece29dec8e14,Liquid Pixels,Ned Kahn,1801 North Lynn Street,Arlington,Virginia,22209,38.8970344,-77.0704791,stainless steel,"installations (visual works), Kinetic (style)",,2002,commercial buildings,Arlington County
1d0857a3-1f3d-46d3-ac77-46d25b417b6b,Silver Lining,Rob Ley,1770 Crystal Drive,Arlington,Virginia,22202,38.858516425806314,-77.04944609049576,"aluminum (metal), paint",sculpture (visual work),,2023,commercial buildings,Amazon
3288a862-9944-41f0-8ba0-ef9fee8d6a1b,Sky Column,Douglas Hollis,333 Long Bridge Dr,Crystal City,Virginia,22202,38.86679493571982,-77.04839445993825,"stainless steel, terrazzo","sculpture (visual work), outdoor sculpture",,2021,community centers,Arlington County
