category,value,count
artists,Dana Lynn Louis,8
artists,Curtis Pittman,8
artists,Coosje van Bruggen,8
artists,Claudia Fitch,8
artists,Claude Horan,8
artists,Chuck Dunbar,8
artists,Christopher Janney,8
artists,Christopher Fennell,8
artists,Christian Moeller,8
artists,Chandra Cox,8
artists,Carol Bennett,8
artists,Béatrice Coron,8
artists,Brian Moss,8
artists,Blue,8
artists,Bland Hoke,8
artists,Ben Butler,8
artists,"Artist Unknown, Guerrero",8
artists,Anshula Tayal,8
artists,Annette Coleman,8
artists,Anna Campbell Bliss,8
artists,Ann LaRose,8
artists,Angelina Marino-Heidel,8
artists,Alvin Frega,8
artists,Alex Pekala,8
artists,Albert Paley,8
artists,Aaron Karp,8
artists,Judy Cooke,8
artists,Deb Stoner,8
artists,Brian Senft,8
artists,Dee Clements,8
artists,Gary Alsum,8
artists,Denise R. Duarte,8
artists,Judith Trager,8
artists,Jon Jay Cruson,8
artists,John Wilton,8
artists,John King,8
artists,ARCY,8
artists,John Bauguess,8
artists,Jennifer Kuhns,8
artists,Isaka Shamsud-Din,8
artists,Hung Liu,8
artists,Holly Roberts,8
artists,Hank Saxe,8
artists,Gwen Davidson,8
artists,Guy Dill,8
artists,Jack Cartlidge,8
artists,Dennis Oppenheim,8
artists,Don Merkt,8
artists,Fitzhugh Karol,8
artists,Dennis Smith,8
artists,Desiree Bender,8
artists,Devlin Wilson,8
artists,Dianne Kornberg,8
artists,Diana Lucas Leavengood,8
artists,Donald Fels,8
artists,Donna Contractor,8
artists,Douglas Campbell Smith,8
artists,Eliot Porter,8
artists,Ellen Lesperance,8
artists,Mario Echevarria,7
artists,Melanie Stevens,7
artists,Mark Leichliter,7
artists,Mark R. Smith,7
artists,Mark Walker/Lordants,7
artists,Mateo Romero,7
artists,Max Hayslette,7
artists,Mike Pease,7
artists,Michael Boonstra,7
artists,Michael Maglich,7
artists,Michael Naranjo,7
artists,Michael Schwartz,7
artists,Michael Taluc,7
artists,Michael Webb,7
artists,Mamoru Sato,7
artists,Margaret Coe,7
artists,Kent Williams,7
artists,Maiwenn Raoult,7
artists,MANUAL,7
artists,Louise Kodis,7
artists,Lorri Acott,7
artists,Lloyd Hamrol,7
artists,Liza Jones,7
artists,Linda Grebmeier,7
artists,Linda Ethier,7
artists,"Leon ""Rain"" Rainbow",7
artists,Larry Meeks,7
artists,LaVerne Erickson Krause,7
artists,Kristine Kollasch,7
artists,Kristin Tollefson,7
artists,"Kessler Studios, Inc.",7
artists,Nancy Lovendahl,7
artists,Miriam Singer,7
artists,Wick Alexander,7
artists,Nathaniel Benjamin,7
artists,Stuart Keeler,7
artists,Sara Siestreem,7
artists,Serena Saunders (aka MsPassionArt),7
artists,Shan Michael Evans,7
artists,Sol LeWitt,7
artists,Stephen Canneto,7
artists,Steven Siegel,7
artists,Susan Chrysler White,7
artists,Nina Borgia-Aberle,7
artists,Susan Wink,7
artists,Tamarra Kaida,7
artists,Thomas Rosborough,7
artists,Tom Morandi,7
artists,Keisha Finnie,7
artists,Ysanel Torres,7
artists,Sally Haley,7
artists,Sadé DuBoise,7
artists,Roni Ziemba,7
artists,Robert Weller,7
artists,Robert R. Dozono,7
artists,Robert D. Clements,7
artists,Richard Haas,7
artists,Randal Julian,7
artists,R. Keaney Rathbun,7
artists,Peter S. Quaempts,7
artists,Paul Sutinen,7
artists,Paul Strand,7
artists,Paul Sorey,7
artists,Paul Saviskas,7
artists,Patricia Ingersoll,7
artists,O.K. Harris,7
artists,Nolan Preece,7
artists,Kent Ullberg,7
artists,Maye Torres,7
artists,Kathryn Pannepacker,7
artists,David Boyer,7
artists,Cordell Taylor,7
artists,Cynthia Patterson,7
artists,Dan Powell,7
artists,Daniel Lipschutz,7
artists,Daniel Mihalyo,7
artists,"Danny Polanco, aka DanOne",7
artists,David Colbert,7
artists,Christine Bourdette,7
artists,David F. Haidle,7
artists,Diane Keller,7
artists,Diane Pieri,7
artists,Dick Ibach,7
artists,Don Gray,7
artists,Dora Cuenca,7
artists,Christopher Rauschenberg,7
artists,Cheryl Wing-Zi Wong,7
artists,Ed Mell,7
artists,Art Garcia,7
artists,Judy Just,7
artists,Adam Sorensen,7
artists,Ali Baudoin,7
artists,Ann Troutner,7
artists,Anna Fidler,7
artists,Annie Han,7
artists,Baba Wagué Diakité,7
artists,Charles Grafly,7
artists,Bob Harper,7
artists,Brenda Mallory,7
artists,Brian Hanlon,7
artists,Brian Shannon,7
artists,Carol May,7
artists,Char Downs,7
artists,Douwe Blumberg,7
artists,Betsy Wolfston,7
artists,Eddie Dominguez,7
artists,Janet Austin,7
artists,Jake Early,7
artists,James Castle,7
artists,James Coates,7
artists,James Hibbard,7
artists,James T. Russell,7
artists,Jan Burch,7
artists,Jean Lewis,7
artists,Hirotsune Tashima,7
artists,Jim Lommasson,7
artists,John Davis,7
artists,John Soichi Sunami,7
artists,Edward Gonzales,7
artists,"Jonathan ""Lank"" Conner",7
artists,Joshua Wiener,7
artists,India Cruse-Griffin,7
artists,John Alexander,7
artists,Heather Watkins,7
artists,Etienne Viard,7
artists,Haruka Ashida Ostley,7
artists,Ellen George,7
artists,Elaine Maute,7
artists,Erb Mon,7
artists,Erick Johnson,7
artists,Ernest Trova,7
artists,Eric Powell,7
artists,Ellen Sollod,7
artists,Fernando Nubez,7
artists,Ford Robbins,7
artists,Frito Bastien,7
artists,Gabriel Liston,7
artists,Gregg LeFevre,7
artists,Maureen Quemada,6
artists,Melinda Thorsnes,6
artists,Mel Katz,6
artists,Max Yavno,6
artists,Mauriel Morejon,6
artists,Mark Baltes,6
artists,Matt Monsoon,6
artists,Margo Sawyer,6
artists,Martin Montoya,6
artists,Melody Peters,6
artists,Martha Rich,6
artists,Mataumu Alisa,6
artists,Michael Whiting,6
artists,Michael Anderson,6
artists,Michael Dente,6
artists,Michael Janis,6
artists,Michael Riegel,6
artists,Michele R Gutlove - Design Studio G+H,6
artists,Mike Mandel,6
artists,Murillo Studios,6
artists,Nancy Blum,6
artists,Nancy Day,6
artists,Nia Musiba,6
artists,Malynn A. Wilbur-Foster,6
artists,Nobuho Nagasawa,6
artists,Norm Terry,6
artists,Manuela Guillén,6
artists,Lead Pencil Studio,6
artists,Malin Abrahamsson,6
artists,Larry Roots,6
artists,Kati Toivanen,6
artists,Pat Bognar,6
artists,Kay Kirkpatrick,6
artists,Keith Jellum,6
artists,Kendra Fleischman,6
artists,Kenneth Shutt,6
artists,Kenny Scharf,6
artists,Kevin Bate,6
artists,Key Detail,6
artists,Kunu Dittmer-Bearchum,6
artists,Kyra Watkins,6
artists,Laura Bender,6
artists,Luis Mena,6
artists,Lilli Ann Rosenberg,6
artists,Lindsey Dunnagan,6
artists,Linnea Glatt,6
artists,Lli Wilburn,6
artists,Lois Teicher,6
artists,Lonnie Hanzon,6
artists,Lonnie Holley,6
artists,Lorna Jordan,6
artists,Louis Chinn,6
artists,Louise Bourgeois,6
artists,Louise Nevelson,6
artists,Orquidia Violeta,6
artists,Susan Fleming,6
artists,Patricia Pearce,6
artists,Shohini Ghosh,6
artists,Steven Babecki,6
artists,Stewart Harvey,6
artists,Susan Kleps,6
artists,Swoon (Caledonia Curry),6
artists,Teresa Neptune,6
artists,Teri Rosario,6
artists,Terrance Burton,6
artists,Terry Lennox,6
artists,Tim Keenan-Burgess,6
artists,Tom Prochaska,6
artists,Tom Stancliffe,6
artists,Tommy Shearer,6
artists,Toshiko Takaezu,6
artists,Trés Taylor,6
artists,Tyson Grumm,6
artists,Umi Raby,6
artists,Valerie Willson,6
artists,Various,6
artists,Vaughn Bell,6
artists,Victor Issa,6
artists,William (Bill) Moore,6
artists,William Burgess,6
artists,Yolly Torres,6
artists,Yuji Hiratsuka,6
artists,Karl Unnasch,6
artists,Stephen Galloway,6
artists,Shige Yamada,6
artists,Patricio A. Zamora (PAZ),6
artists,Sharita Towne,6
artists,Paul Downie,6
artists,Peter Busby,6
artists,Peter Helzer,6
artists,Philip Foley,6
artists,Phill Evans,6
artists,Phyllis Shafer,6
artists,Pierre Bourdelle,6
artists,Pompeo Luigi Coppini,6
artists,Raoul Josset,6
artists,Rather Severe,6
artists,Rebecca Thompson,6
artists,Richard Beyer,6
artists,Richard Turner,6
artists,Robert Hanson,6
artists,Robin Riley,6
artists,Roll Hardy,6
artists,Rosetta,6
artists,Ru8icon1,6
artists,Russell Rock,6
artists,Sam Donovan,6
artists,Sam Tubiolo,6
artists,Sandra Fettingis,6
artists,Sayoko Kay Mura,6
artists,Scott Blackman,6
artists,Scott Parsons,6
artists,Kathleen Caprario,6
artists,Jim Colbert,6
artists,Karl Ross,6
artists,Deborah Dalton,6
artists,C.J. Rench,6
artists,CJ Hungerman,6
artists,Carl Reed,6
artists,Carlos Alves,6
artists,Caroline Buchanan,6
artists,Catherine Wagner,6
artists,Cathleen Hughes,6
artists,Cathy Cheney,6
artists,Chi Meredith,6
artists,Claudia Cave,6
artists,Claudia Nix,6
artists,Cody Bustamante,6
artists,Collin Williams,6
artists,Connie Arismendi,6
artists,Creative Machines,6
artists,Cynthia Lahti,6
artists,Dale Young,6
artists,Damon Hyldreth,6
artists,Danny Torres,6
artists,Daryl Thetford,6
artists,David Chung,6
artists,David Govedare,6
artists,David Mann,6
artists,David Newton,6
artists,David S. Gordon,6
artists,Bunnie Reiss,6
artists,Bruce White,6
artists,Bruce Allen Bayard,6
artists,April Wagner,6
artists,Karen Yank,6
artists,Adriene Cruz,6
artists,Albert Tellez,6
artists,Alexander Liberman,6
artists,Alexander Scheinker,6
artists,Alexandr Polzin,6
